lms_login_frequency,assignment_delay_days,attendance_percentage,sentiment_score,activity_irregularity_score,dropout_risk_score,burnout_risk_level
6,2.3,60.4,0.09,3.1,60.5,Medium
9,0.9,80.6,-0.43,3.0,37.4,Medium
2,16.4,35.6,-0.84,8.6,100.0,High
2,12.5,54.5,-0.4,7.1,100.0,High
13,0.3,94.9,0.64,1.4,10.6,Low
10,0.5,72.6,-0.08,4.1,40.9,Medium
17,0.0,93.0,0.6,0.1,2.2,Low
4,3.6,38.3,-0.63,7.5,84.4,High
1,0.8,55.6,-0.31,8.2,75.7,High
7,0.8,75.0,0.21,3.9,43.9,Medium
1,1.0,63.7,-0.75,8.3,78.3,High
4,0.2,68.5,0.33,3.7,52.5,Medium
11,1.9,85.9,-0.21,5.3,48.8,Medium
18,0.3,86.6,0.47,2.6,17.2,Low
4,0.9,44.9,0.08,8.0,70.1,High
26,0.7,88.3,0.48,3.9,27.1,Low
5,0.9,70.7,-0.72,8.2,63.5,Medium
1,4.5,47.5,-0.15,7.1,89.1,High
5,3.9,59.9,0.22,5.6,68.7,Medium
15,1.4,95.3,0.66,2.1,19.3,Low
6,2.4,78.5,0.3,7.6,58.9,Medium
14,1.6,99.4,0.45,1.3,15.4,Low
9,1.6,83.4,0.04,3.6,44.4,Medium
21,0.5,91.2,0.56,1.8,14.7,Low
3,5.8,50.7,-0.88,7.6,92.8,High
11,1.5,69.5,0.38,5.9,51.0,Medium
10,1.1,81.3,0.06,5.4,40.9,Medium
5,0.3,87.5,-0.13,3.1,42.6,Medium
5,1.0,60.9,-0.27,2.0,59.0,Medium
12,4.1,75.0,-0.01,4.8,47.5,Medium
10,0.2,79.7,0.6,3.3,28.2,Low
4,5.5,47.2,-0.83,8.6,91.8,High
12,5.9,79.3,-0.3,3.2,52.8,Medium
2,1.0,60.4,-0.95,9.2,83.3,High
4,0.4,66.6,-0.42,7.5,65.1,Medium
18,0.1,92.7,0.52,4.1,4.8,Low
9,1.6,43.6,-0.56,7.9,70.0,Medium
12,0.2,90.8,0.88,1.3,18.5,Low
6,7.7,40.8,-0.32,8.3,93.3,High
7,1.3,70.6,0.03,2.8,43.9,Medium
0,0.7,52.4,-0.59,7.7,89.2,High
1,1.8,49.6,-0.14,7.7,74.7,High
1,4.9,67.0,-0.21,6.5,87.0,High
4,5.2,44.9,-0.06,9.7,87.4,High
11,7.1,79.6,-0.2,7.1,68.7,Medium
24,0.1,91.7,0.66,0.2,13.1,Low
14,0.5,74.7,0.16,4.8,37.4,Medium
17,0.1,100.0,0.41,2.5,8.0,Low
9,0.0,80.3,0.37,4.9,26.6,Low
7,2.4,72.4,0.12,4.8,51.4,Medium
4,9.5,47.9,-0.5,8.9,100.0,High
7,4.6,70.2,0.17,5.0,68.7,Medium
2,4.2,88.0,-0.93,6.0,64.3,Medium
15,1.5,83.4,0.78,4.2,24.5,Low
3,2.1,48.2,-0.53,7.5,86.6,High
2,3.3,54.7,-0.54,7.8,88.4,High
7,0.4,80.3,-0.47,6.5,50.7,Medium
5,0.4,83.8,0.61,3.7,38.1,Medium
3,14.9,34.9,-1.0,9.9,100.0,High
13,0.0,92.6,0.03,0.5,21.3,Low
11,3.8,79.1,0.12,6.0,40.8,Medium
7,3.1,81.2,0.36,7.4,51.3,Medium
18,0.8,84.9,0.57,0.3,15.4,Low
5,1.3,73.4,-0.56,6.0,61.4,Medium
11,0.0,84.6,0.6,4.9,37.2,Medium
12,0.1,94.0,0.81,1.5,14.2,Low
18,1.7,81.6,0.75,0.9,14.7,Low
3,0.4,53.5,-0.43,6.7,66.9,Medium
8,1.4,83.5,0.27,8.0,45.9,Medium
4,1.6,37.0,-1.0,7.4,93.1,High
11,5.5,85.3,0.17,2.5,45.2,Medium
9,1.3,61.0,-0.33,5.2,50.5,Medium
7,1.6,77.7,0.14,3.9,48.3,Medium
8,0.9,97.3,0.29,3.2,27.4,Low
19,0.3,86.0,0.65,4.6,22.5,Low
9,0.7,73.7,-0.17,4.8,46.0,Medium
18,0.1,95.8,0.46,1.8,9.2,Low
5,1.8,72.8,-0.3,7.5,74.2,High
4,0.3,77.0,0.11,2.6,45.8,Medium
16,0.1,91.0,0.51,4.4,17.0,Low
20,0.3,89.9,0.67,2.0,10.2,Low
3,4.1,46.8,-0.23,6.6,79.4,High
6,1.5,74.4,0.07,4.9,42.2,Medium
14,1.8,97.6,0.75,2.2,11.6,Low
4,1.5,40.2,-0.78,8.1,80.9,High
15,0.4,94.8,0.35,0.0,9.9,Low
9,0.8,77.8,0.06,5.7,44.8,Medium
1,4.6,55.0,-0.34,7.2,81.6,High
15,0.0,90.6,0.48,2.1,18.2,Low
8,0.5,81.2,0.5,0.6,18.6,Low
21,0.2,99.4,0.67,2.5,10.0,Low
9,0.1,61.6,-0.31,5.8,63.2,Medium
16,0.2,89.2,0.68,1.0,10.3,Low
8,1.5,69.4,-0.18,4.3,57.0,Medium
13,1.6,91.9,0.91,2.6,20.2,Low
9,4.7,83.2,0.1,4.4,51.1,Medium
2,4.4,50.7,0.18,9.2,78.2,High
1,0.0,55.4,-1.0,6.5,74.1,High
13,0.3,80.0,-0.01,6.3,34.0,Low
4,0.4,90.9,0.72,6.1,42.2,Medium
11,6.3,88.7,-0.39,4.8,61.8,Medium
14,2.3,72.1,-0.02,6.6,40.7,Medium
6,1.3,85.0,-0.35,3.0,55.0,Medium
17,0.1,96.3,0.74,1.9,0.0,Low
7,7.3,69.5,-0.5,7.4,78.1,High
10,0.2,69.8,-0.41,2.7,43.3,Medium
12,1.6,95.9,0.38,2.2,22.4,Low
8,0.1,65.1,0.08,5.5,43.5,Medium
10,0.8,60.7,-0.07,6.5,55.6,Medium
2,1.4,60.1,-0.1,7.3,67.7,Medium
3,4.1,64.3,-0.53,8.7,79.1,High
3,6.4,52.4,-0.43,8.5,94.7,High
16,0.1,87.6,0.54,1.2,12.4,Low
6,0.1,70.7,-0.03,3.8,51.6,Medium
14,0.5,83.6,-0.35,5.5,38.2,Medium
19,0.0,90.6,0.42,0.9,8.0,Low
15,0.2,93.2,0.76,3.0,4.9,Low
5,21.3,58.5,-0.42,7.1,97.9,High
14,0.4,99.2,0.41,3.9,16.4,Low
12,0.1,83.7,0.31,3.2,23.1,Low
21,0.5,89.6,0.51,1.6,19.7,Low
16,0.3,90.6,0.75,1.8,8.4,Low
16,0.0,76.6,0.38,1.2,22.7,Low
2,4.6,34.3,-0.61,6.6,88.3,High
4,24.9,62.9,-0.17,9.2,86.3,High
1,9.0,61.9,-0.25,7.7,91.9,High
10,1.1,71.6,0.24,3.5,42.7,Medium
22,0.3,99.0,0.48,0.9,7.6,Low
11,1.7,83.7,-0.25,4.6,47.9,Medium
10,0.5,83.3,-0.09,3.1,38.1,Medium
2,4.4,66.5,-0.15,8.0,91.5,High
15,0.6,95.0,0.95,1.6,5.0,Low
8,3.2,59.7,-0.17,6.0,70.6,High
18,0.2,84.3,0.36,0.2,13.8,Low
7,0.2,73.5,-0.03,5.5,44.6,Medium
3,0.5,63.0,-0.55,8.7,77.7,High
7,1.9,63.3,0.2,6.3,60.7,Medium
7,0.7,67.2,-0.02,4.8,45.7,Medium
11,1.4,58.4,-0.46,5.5,54.6,Medium
4,0.6,91.1,-0.25,6.4,52.7,Medium
4,7.7,63.0,-0.39,8.0,90.8,High
1,2.0,46.3,-0.34,5.4,70.4,High
2,5.8,69.7,-0.52,7.4,88.8,High
0,6.1,54.6,-0.38,7.3,92.5,High
6,3.9,79.3,-0.0,2.3,52.7,Medium
9,1.5,66.6,0.1,2.3,39.0,Medium
4,4.5,71.9,-0.4,6.5,70.4,High
6,0.1,90.1,0.62,1.6,25.9,Low
1,8.0,78.1,-0.52,8.6,83.5,High
12,0.5,91.8,0.39,3.2,15.3,Low
2,18.1,62.1,-0.47,8.5,100.0,High
8,3.5,69.7,-0.08,4.7,60.7,Medium
6,3.5,89.0,-0.3,7.2,55.5,Medium
3,3.5,72.0,-0.34,4.3,70.4,High
4,2.1,46.0,-0.17,8.6,76.1,High
13,3.8,87.4,-0.24,5.7,41.2,Medium
6,0.5,68.5,0.32,4.7,39.4,Medium
10,0.0,88.4,0.91,1.0,23.4,Low
7,7.2,66.7,-0.25,9.4,77.2,High
18,0.3,78.4,0.75,1.4,12.6,Low
4,3.3,46.8,-0.32,7.3,87.0,High
9,0.3,76.8,-0.01,5.4,34.0,Low
5,0.3,65.9,-0.39,3.6,57.4,Medium
15,0.5,88.1,0.52,2.2,20.0,Low
15,1.2,88.4,0.56,1.2,16.3,Low
4,2.4,57.9,-0.8,7.9,88.7,High
12,0.4,88.3,0.36,2.3,22.7,Low
21,0.3,92.6,0.91,1.5,2.7,Low
13,0.2,95.8,0.61,2.7,18.1,Low
3,13.3,55.8,-0.54,8.5,100.0,High
3,4.5,55.0,-0.46,7.7,92.4,High
8,3.7,66.8,-0.55,5.6,64.4,Medium
17,0.7,78.5,0.57,3.4,19.6,Low
2,0.1,84.1,-0.09,5.3,48.5,Medium
4,0.9,67.6,0.02,7.7,54.6,Medium
9,0.8,62.5,-0.27,4.4,48.0,Medium
17,0.5,100.0,0.95,2.1,0.0,Low
16,0.1,87.1,0.18,3.3,26.9,Low
23,0.8,94.4,0.65,2.2,12.8,Low
6,5.5,73.1,-0.02,4.2,65.4,Medium
1,8.3,51.4,-0.71,8.1,100.0,High
24,0.6,93.5,0.6,0.6,7.0,Low
13,0.3,93.2,0.18,2.7,13.6,Low
22,0.7,89.3,0.39,1.3,10.4,Low
4,0.4,67.5,-0.35,6.9,55.6,Medium
19,0.1,100.0,0.6,3.6,15.2,Low
1,1.4,60.1,-0.39,7.5,75.7,High
7,0.4,79.8,-0.21,9.1,62.5,Medium
9,0.4,79.7,-0.28,7.1,46.1,Medium
17,0.4,93.7,0.87,3.5,15.1,Low
12,0.1,89.6,0.85,3.2,21.2,Low
11,2.0,92.6,-0.28,4.3,40.6,Medium
4,8.0,43.5,-0.91,8.0,93.1,High
10,3.4,84.2,0.07,4.3,48.1,Medium
7,1.0,75.8,-0.08,5.1,50.7,Medium
11,1.9,91.6,0.31,3.4,28.2,Low
4,1.6,43.0,-0.46,7.7,76.1,High
2,6.4,49.3,-1.0,6.4,95.3,High
21,0.4,93.7,0.47,1.3,16.6,Low
5,5.5,29.7,-0.87,7.5,96.6,High
5,1.8,61.5,0.24,6.4,63.5,Medium
8,0.5,54.7,0.17,4.6,50.6,Medium
5,2.6,48.3,-0.74,7.5,78.3,High
2,4.5,34.8,-0.14,8.5,94.7,High
3,0.8,76.1,-0.84,4.1,69.6,Medium
13,0.9,86.3,0.38,1.4,11.5,Low
7,2.8,59.1,0.14,4.0,52.9,Medium
3,21.2,52.4,-0.15,8.8,100.0,High
11,0.4,93.3,1.0,0.0,5.7,Low
9,15.6,74.3,-0.12,4.5,79.3,High
9,1.3,68.1,-0.06,5.4,54.8,Medium
12,5.8,64.3,-0.09,6.2,68.0,Medium
5,7.4,64.8,-0.24,4.2,74.8,High
5,11.4,46.9,-0.28,8.6,100.0,High
15,1.8,86.8,0.66,2.5,11.8,Low
14,0.6,78.3,0.7,2.2,16.2,Low
20,0.2,91.0,0.55,1.9,15.5,Low
4,3.8,48.6,-0.84,7.8,88.3,High
9,2.1,72.1,0.02,5.3,44.9,Medium
10,0.0,98.1,0.56,2.0,26.5,Low
1,13.4,47.7,-0.83,8.9,100.0,High
7,7.8,51.1,-0.52,8.2,88.4,High
3,5.8,51.7,-0.89,8.9,99.0,High
5,0.2,57.6,-0.39,9.1,65.9,Medium
14,0.1,87.6,0.54,1.6,18.8,Low
4,1.1,64.0,-0.22,5.3,61.1,Medium
10,2.0,95.1,0.36,5.0,30.2,Low
1,7.1,67.0,-0.42,8.6,91.5,High
1,1.1,58.8,-0.29,7.2,72.9,High
5,2.2,52.6,0.64,8.5,66.7,Medium
9,4.4,67.5,0.15,6.5,64.1,Medium
20,2.2,91.6,0.38,1.1,27.4,Low
5,0.3,72.9,0.03,4.2,56.3,Medium
2,5.4,67.8,-0.2,9.4,85.1,High
1,9.3,39.0,-0.61,8.4,100.0,High
11,0.3,84.4,0.37,3.9,26.1,Low
15,0.1,87.1,0.68,0.0,7.1,Low
23,0.2,90.4,0.87,3.8,11.3,Low
6,5.2,55.8,-0.4,9.5,79.5,High
1,3.1,54.9,0.01,7.7,88.0,High
9,0.4,83.8,0.45,0.9,34.5,Low
10,0.9,90.4,0.24,6.8,31.6,Low
4,10.2,45.5,-1.0,8.6,100.0,High
1,4.1,51.4,-0.72,7.0,93.2,High
6,1.2,78.8,-0.17,6.5,53.8,Medium
7,0.1,70.1,0.07,6.3,45.4,Medium
6,0.3,87.3,-0.41,4.2,53.2,Medium
10,0.7,86.5,0.74,1.7,26.3,Low
6,3.1,64.0,0.34,6.8,65.5,Medium
2,3.2,79.4,0.27,5.2,57.8,Medium
3,8.8,56.2,-0.67,9.2,100.0,High
5,2.0,65.6,0.22,6.2,71.8,High
3,5.0,42.9,-0.7,7.3,96.1,High
12,0.2,81.1,0.79,3.0,20.8,Low
13,0.7,66.1,0.01,3.2,33.8,Low
12,1.0,90.3,0.52,3.0,28.2,Low
19,1.0,87.4,0.46,2.3,16.2,Low
1,4.9,60.7,0.04,7.3,79.0,High
4,17.6,44.4,-0.44,6.3,96.6,High
20,0.2,86.3,0.73,3.6,19.8,Low
8,2.1,73.2,0.02,6.1,55.1,Medium
1,9.8,47.6,-0.07,7.8,94.4,High
20,0.1,88.7,0.71,0.9,9.6,Low
12,4.0,87.8,-0.16,3.5,35.3,Medium
0,17.8,70.9,-0.81,8.0,100.0,High
10,1.0,77.0,0.05,4.1,40.5,Medium
14,0.7,84.6,0.12,1.1,9.5,Low
11,2.2,70.7,-0.4,4.5,49.7,Medium
5,0.3,62.7,-0.72,7.6,65.4,Medium
11,0.6,78.1,-0.08,6.2,51.7,Medium
15,0.7,93.5,0.62,2.5,14.5,Low
6,2.0,47.5,-0.28,10.0,73.4,High
17,0.4,87.4,0.75,3.1,21.0,Low
3,3.0,74.1,-1.0,8.4,80.8,High
16,0.0,91.1,0.39,3.3,14.0,Low
4,5.5,44.2,-0.77,8.1,100.0,High
10,3.5,75.6,-0.24,5.6,52.7,Medium
9,1.1,68.9,0.49,5.2,41.8,Medium
15,0.5,97.8,0.72,3.4,11.1,Low
9,0.1,71.7,-0.02,4.4,38.5,Medium
4,0.0,52.7,-0.82,7.5,75.3,High
1,11.9,37.3,-0.2,7.0,100.0,High
7,0.5,73.6,-0.13,6.1,50.7,Medium
7,1.8,85.2,0.06,6.4,44.2,Medium
3,0.6,59.3,-0.46,8.6,73.7,High
6,0.7,42.4,-0.17,7.9,77.9,High
9,1.5,70.7,-0.12,7.2,53.5,Medium
9,0.7,89.5,0.11,3.9,37.6,Medium
4,1.0,76.7,0.53,5.2,52.3,Medium
5,0.5,73.5,-0.21,4.4,58.3,Medium
19,0.4,90.6,0.58,2.1,11.7,Low
9,5.7,67.4,-0.51,5.1,71.9,High
6,0.8,70.6,0.03,5.8,65.4,Medium
1,7.6,32.2,-0.39,6.1,100.0,High
15,0.0,96.0,0.89,1.8,7.1,Low
6,3.0,82.1,0.1,5.3,63.0,Medium
7,0.2,82.6,-0.16,3.5,44.5,Medium
9,0.4,77.6,-0.23,3.4,48.4,Medium
11,0.0,86.7,0.93,2.6,15.5,Low
6,1.7,76.1,0.43,5.5,61.5,Medium
10,4.4,76.7,-0.74,5.1,55.3,Medium
7,4.5,73.5,-0.26,6.4,64.4,Medium
8,1.9,73.9,0.13,4.7,50.9,Medium
7,0.8,90.1,0.57,6.5,44.6,Medium
2,6.3,57.9,-0.65,5.4,94.6,High
17,0.1,95.3,0.67,0.6,3.2,Low
5,1.3,73.4,-0.64,8.4,57.9,Medium
8,5.0,70.5,-0.28,7.0,71.6,High
15,0.9,89.5,0.7,2.8,10.4,Low
21,0.4,84.6,0.79,3.7,19.6,Low
7,0.7,85.3,0.4,4.7,37.4,Medium
4,1.6,53.8,-0.37,9.7,79.4,High
0,1.4,57.0,-0.45,6.6,71.9,High
2,1.5,49.5,-0.54,9.7,84.7,High
5,0.9,61.7,0.19,3.7,60.8,Medium
4,0.5,80.0,-0.31,5.8,60.3,Medium
7,0.3,84.1,0.23,1.5,32.0,Low
7,2.6,77.7,0.37,3.2,39.9,Medium
8,2.5,64.1,-0.02,5.7,66.7,Medium
17,0.2,84.7,0.65,4.3,21.5,Low
14,0.8,89.2,0.54,0.9,12.4,Low
8,4.8,83.0,0.05,4.3,51.5,Medium
3,0.7,54.2,-0.51,8.0,82.0,High
3,7.4,45.1,-0.08,8.2,92.4,High
4,0.9,58.0,-0.12,8.3,65.8,Medium
11,0.2,82.4,0.16,5.6,40.1,Medium
7,0.8,70.8,-0.25,5.0,50.6,Medium
11,3.8,84.4,0.15,3.9,46.9,Medium
1,0.5,52.5,-0.98,9.3,81.3,High
10,1.2,96.7,0.41,2.4,21.5,Low
7,6.8,76.5,0.08,6.0,75.7,High
1,8.6,59.6,-0.13,7.6,96.2,High
11,0.4,63.0,0.09,5.8,45.6,Medium
5,1.4,83.0,0.25,4.7,45.5,Medium
8,4.5,72.1,-0.12,4.5,55.6,Medium
19,0.4,95.7,0.69,2.5,19.1,Low
9,1.0,73.6,0.11,3.0,39.8,Medium
8,1.8,68.6,0.47,3.6,49.1,Medium
15,0.2,100.0,1.0,2.6,2.4,Low
12,0.2,83.1,0.53,0.9,29.4,Low
0,0.1,41.6,-0.54,6.3,89.7,High
15,0.7,82.0,0.42,2.1,21.7,Low
10,0.5,83.2,-0.1,5.9,38.2,Medium
12,0.1,85.7,0.78,3.3,25.9,Low
4,1.0,69.3,-0.84,8.5,73.8,High
20,0.3,91.5,0.64,1.3,0.7,Low
12,2.4,87.7,-0.4,4.3,52.9,Medium
1,6.2,71.1,-0.7,7.1,86.4,High
2,3.2,59.8,-0.96,7.1,91.6,High
16,0.0,85.0,0.84,2.1,6.6,Low
2,0.5,80.4,-0.32,7.1,67.1,Medium
7,9.0,80.1,-0.38,6.4,71.1,High
7,3.9,61.2,0.1,5.6,56.3,Medium
13,0.4,97.3,0.46,2.3,12.2,Low
14,0.1,96.0,0.37,2.1,17.5,Low
4,2.8,59.8,-0.27,8.7,68.8,Medium
3,1.4,65.1,-0.38,5.2,66.3,Medium
5,0.0,60.2,-0.52,5.8,59.7,Medium
3,16.5,50.2,-1.0,9.0,100.0,High
2,6.5,49.6,-0.62,9.4,100.0,High
12,0.9,91.7,0.39,1.8,19.6,Low
8,1.1,72.8,-0.11,7.1,51.2,Medium
16,0.4,89.7,0.42,0.1,12.2,Low
5,0.1,48.2,-0.25,7.4,72.2,High
4,0.3,74.7,-0.01,2.8,49.0,Medium
2,4.6,53.5,-0.69,7.0,85.3,High
16,0.5,87.5,0.44,2.2,9.3,Low
14,0.8,91.4,0.52,2.9,16.7,Low
8,0.2,92.4,0.37,0.8,26.2,Low
14,0.1,90.4,0.25,1.5,6.6,Low
11,0.0,89.3,0.64,1.3,24.7,Low
4,1.4,44.9,-0.32,7.3,77.3,High
16,0.1,86.4,1.0,1.4,2.6,Low
15,1.6,86.4,0.66,1.5,21.5,Low
4,1.4,48.3,-0.92,7.6,76.8,High
8,3.1,75.4,-0.08,2.3,55.0,Medium
4,4.7,48.9,-0.55,7.1,84.4,High
15,0.1,90.9,1.0,0.9,11.2,Low
7,4.7,76.3,0.14,2.9,54.8,Medium
19,0.1,87.9,0.52,2.1,16.8,Low
12,0.5,73.5,0.83,1.9,20.1,Low
2,2.0,41.5,-0.81,8.3,90.4,High
16,0.6,87.0,0.38,1.3,11.9,Low
3,0.2,76.4,0.01,7.8,50.4,Medium
6,3.3,72.3,-0.52,3.8,59.5,Medium
10,2.5,70.9,-0.21,6.4,53.1,Medium
3,2.7,67.4,-0.38,8.5,80.6,High
14,1.3,98.8,0.59,0.9,10.4,Low
5,1.9,68.1,-0.53,3.8,60.5,Medium
0,11.4,51.3,-0.93,8.0,100.0,High
9,6.7,71.3,-0.24,4.3,71.7,High
2,3.0,52.8,-0.37,7.2,83.6,High
14,0.1,84.4,0.66,2.1,11.4,Low
6,0.2,74.8,0.43,5.8,45.3,Medium
13,0.2,90.0,0.28,2.1,10.7,Low
4,3.9,34.8,-0.41,7.2,93.8,High
2,3.6,73.0,-0.33,4.3,67.1,Medium
13,1.5,87.8,0.56,2.2,21.1,Low
10,1.8,68.2,0.19,5.9,58.3,Medium
14,0.1,97.3,0.46,1.7,23.9,Low
6,0.5,66.2,0.74,4.3,54.9,Medium
8,2.4,77.2,0.1,3.6,48.5,Medium
1,9.7,59.2,-0.05,8.0,97.4,High
7,3.2,61.3,0.82,4.5,58.4,Medium
9,0.3,79.0,0.2,6.7,40.7,Medium
8,1.0,88.0,0.81,1.5,34.6,Low
19,0.7,90.8,0.45,4.2,24.6,Low
19,0.9,91.5,0.42,2.4,18.9,Low
15,0.3,86.0,0.63,2.7,11.9,Low
4,15.7,56.5,-0.89,6.6,92.6,High
8,0.3,80.9,-0.66,5.3,46.3,Medium
6,0.5,64.6,0.05,5.7,57.5,Medium
11,0.2,86.0,0.67,1.8,16.0,Low
4,2.2,67.6,-0.72,7.6,71.6,High
4,4.1,56.0,-1.0,8.8,90.8,High
11,0.5,84.4,0.53,2.2,19.8,Low
3,5.0,54.6,-0.99,5.2,82.1,High
9,4.9,72.7,-0.16,4.5,55.8,Medium
19,0.1,91.3,0.67,2.6,14.6,Low
13,0.3,55.2,-0.32,6.8,46.6,Medium
9,3.5,78.9,0.2,6.3,44.7,Medium
13,0.2,89.3,0.64,0.1,17.9,Low
3,1.2,48.6,-0.11,8.0,68.9,Medium
1,1.7,55.9,-0.09,6.8,77.9,High
11,2.5,68.8,0.59,2.5,30.8,Low
7,3.5,86.2,0.5,5.6,44.9,Medium
10,4.9,79.6,-0.1,4.6,46.3,Medium
9,1.6,62.1,-0.24,8.3,62.2,Medium
9,0.6,73.3,-0.03,3.5,52.5,Medium
16,0.8,94.0,0.75,0.0,7.2,Low
5,2.5,69.1,0.84,6.0,40.3,Medium
1,1.7,61.9,-0.01,10.0,74.7,High
9,4.4,68.8,-0.13,5.4,57.5,Medium
17,1.2,94.0,0.21,2.2,18.6,Low
2,7.2,66.3,-0.36,8.2,87.6,High
15,0.1,88.5,0.59,2.5,6.8,Low
25,0.1,95.1,0.85,2.7,6.2,Low
11,0.2,90.6,0.33,1.9,32.8,Low
6,2.0,77.6,-0.39,2.8,53.3,Medium
2,1.4,63.9,-0.23,8.6,72.2,High
10,1.1,87.0,0.05,3.7,44.8,Medium
28,0.1,84.1,0.46,1.6,15.8,Low
2,10.4,49.6,-0.35,7.5,100.0,High
3,2.9,50.5,-0.88,5.8,82.0,High
6,4.8,46.6,-0.6,9.7,87.2,High
25,0.4,87.9,0.78,1.6,7.9,Low
9,6.0,64.1,0.01,7.3,68.5,Medium
7,0.4,67.4,-0.95,7.6,63.2,Medium
1,6.8,49.3,-0.61,8.8,100.0,High
23,1.4,85.5,0.46,2.4,24.9,Low
19,0.2,94.4,0.67,3.0,14.4,Low
11,1.4,78.2,-0.06,4.9,37.0,Medium
5,0.5,48.4,-0.18,6.8,74.4,High
6,1.9,75.7,0.28,4.9,45.2,Medium
8,4.1,69.5,-0.29,6.5,70.2,High
19,0.2,90.6,0.39,3.0,10.8,Low
1,1.1,74.3,-0.06,3.8,61.8,Medium
1,3.2,37.3,-0.82,9.6,100.0,High
6,0.3,55.3,0.12,2.9,50.9,Medium
3,0.4,57.6,-0.24,7.7,69.4,Medium
3,0.2,62.2,-0.8,7.4,77.2,High
15,0.3,88.9,0.59,1.0,12.4,Low
8,0.4,84.5,0.12,7.1,38.1,Medium
16,0.5,90.3,0.57,1.9,13.4,Low
2,1.5,53.8,-1.0,8.8,76.3,High
9,0.9,71.8,0.01,8.2,52.8,Medium
10,1.0,83.0,-0.31,3.3,36.9,Medium
5,0.3,57.5,-0.7,9.7,80.0,High
8,2.7,79.4,-0.51,4.9,52.5,Medium
3,5.0,53.8,-0.64,7.0,84.1,High
13,0.7,83.0,-0.18,4.8,29.7,Low
14,0.3,86.3,0.6,2.6,17.6,Low
7,0.9,75.9,-0.06,8.0,63.3,Medium
2,2.0,61.8,-0.42,8.2,70.1,High
5,0.3,76.6,0.17,5.3,44.4,Medium
3,5.5,47.8,-0.16,9.9,85.1,High
2,4.6,44.2,-0.08,7.3,89.2,High
15,0.0,85.4,0.51,3.4,23.1,Low
1,7.9,68.4,-0.51,8.5,100.0,High
12,0.1,91.2,0.31,1.6,20.6,Low
20,0.3,92.4,0.74,0.2,10.8,Low
11,0.2,91.0,0.18,2.4,22.8,Low
3,2.2,66.9,-0.53,9.5,80.4,High
15,0.7,67.7,0.58,6.0,34.9,Low
13,0.3,85.7,0.25,1.7,25.5,Low
6,1.8,85.4,-0.05,6.1,56.7,Medium
9,0.3,73.1,-0.24,5.0,46.8,Medium
16,0.5,90.5,0.71,2.0,8.5,Low
3,0.8,51.2,-0.29,7.1,65.3,Medium
3,9.5,49.2,-0.37,7.2,97.6,High
11,0.9,65.4,-0.27,1.9,44.7,Medium
3,4.2,36.0,-0.13,9.3,90.3,High
11,0.4,73.6,0.25,4.3,39.0,Medium
1,1.5,61.7,-0.5,9.6,75.7,High
6,2.0,77.7,-0.19,5.6,58.2,Medium
11,0.4,84.8,0.01,3.4,32.4,Low
12,0.4,86.2,0.63,2.3,22.0,Low
6,4.4,50.1,-0.25,8.3,84.4,High
11,3.7,80.1,0.04,5.4,42.3,Medium
15,0.1,87.0,0.62,2.2,15.1,Low
19,0.0,90.8,0.6,0.7,2.7,Low
10,3.8,73.2,0.25,5.6,48.6,Medium
8,0.6,90.7,-0.15,6.1,45.1,Medium
4,0.6,53.0,-0.7,10.0,79.4,High
4,4.8,48.4,-0.5,9.0,82.4,High
19,0.3,88.7,0.71,1.8,20.1,Low
7,0.1,46.4,-0.85,8.2,73.7,High
11,0.1,92.1,0.72,3.4,15.6,Low
2,1.4,58.7,-0.27,7.1,69.6,Medium
0,2.1,37.2,-0.44,7.3,98.7,High
7,4.0,80.9,0.33,5.8,38.6,Medium
1,2.0,48.0,-0.5,7.8,83.4,High
5,0.8,76.6,-0.13,2.6,43.1,Medium
5,1.9,71.3,-0.09,3.9,57.9,Medium
6,0.0,57.1,-0.51,7.6,61.6,Medium
9,0.6,80.7,-0.47,5.3,51.2,Medium
8,0.7,79.3,-0.3,7.8,57.9,Medium
10,0.6,74.0,0.24,4.8,42.4,Medium
3,2.6,51.0,-0.87,8.3,92.6,High
8,0.8,83.8,-0.16,6.3,52.6,Medium
11,0.0,99.9,0.8,1.9,13.0,Low
2,2.8,50.2,-0.3,7.1,80.1,High
3,2.5,59.3,-0.31,8.3,72.1,High
16,0.3,88.8,0.26,1.4,17.8,Low
10,1.5,82.6,0.48,1.4,40.2,Medium
25,0.4,94.4,0.71,3.7,9.6,Low
8,2.2,76.1,-0.02,2.1,35.9,Medium
8,7.1,76.0,-0.01,4.9,62.2,Medium
1,2.0,66.8,-0.93,8.5,80.5,High
9,1.7,77.2,0.41,5.3,40.7,Medium
3,0.6,76.6,0.02,6.6,56.1,Medium
11,2.7,81.8,0.06,5.9,40.9,Medium
6,10.3,42.1,-0.18,7.8,97.9,High
3,1.0,64.7,-0.02,4.1,60.7,Medium
2,2.5,41.7,-0.85,7.8,91.5,High
7,5.6,79.2,-0.07,5.7,61.9,Medium
15,1.5,85.9,0.25,1.0,25.0,Low
5,3.7,79.2,-0.16,5.0,68.3,Medium
3,1.5,79.1,0.02,4.2,59.7,Medium
10,3.2,64.1,0.5,4.7,45.7,Medium
18,0.2,92.5,0.37,2.3,18.6,Low
19,0.6,91.1,0.66,1.9,16.8,Low
3,5.4,52.0,-0.4,9.0,93.9,High
12,0.4,87.2,0.6,1.1,14.4,Low
